free_spaces_number;updated_at;parking_id;HORA;FECHA
108;2021-11-04 18:40:23.907000;Plaza de Oriente;18:40:23;2021-11-04
21;2021-11-04 18:40:25.017000;Sánchez Bustillo;18:40:25;2021-11-04
124;2021-11-04 18:39:59.593000;Montalbán;18:39:59;2021-11-04
198;2021-11-04 18:40:36.840000;Olavide;18:40:36;2021-11-04
338;2021-11-04 18:39:58.587000;Plaza de España;18:39:58;2021-11-04
34;2021-11-04 18:40:27.533000;Plaza del Rey;18:40:27;2021-11-04
240;2021-11-04 18:39:56.033000;Plaza Mayor;18:39:56;2021-11-04
25;2021-11-04 18:40:34.450000;Villa de París;18:40:34;2021-11-04
2;2021-11-04 18:40:33.230000;Pedro Zerolo;18:40:33;2021-11-04
6;2021-11-04 18:40:29.720000;BARCO 1;18:40:29;2021-11-04
4;2021-11-04 18:40:30.207000;GRAVINA 21;18:40:30;2021-11-04
12;2021-11-04 18:40:30.783000;El Corte Inglés Callao;18:40:30;2021-11-04
42;2021-11-04 18:40:31.283000;MERCADO SAN ANTON;18:40:31;2021-11-04
28;2021-11-04 18:40:31.707000;GARAJE PIAMONTE;18:40:31;2021-11-04
19;2021-11-04 18:40:32.047000;PARKING VOT;18:40:32;2021-11-04
67;2021-11-04 18:40:33.137000;Mercado de la Cebada;18:40:33;2021-11-04
523;2021-11-04 18:41:34.877000;Nuestra Señora del Recuerdo;18:41:34;2021-11-04
252;2021-11-04 18:41:40.673000;Avenida de Portugal;18:41:40;2021-11-04
181;2021-11-04 18:41:26.273000;Almagro;18:41:26;2021-11-04
80;2021-11-04 18:41:22.670000;Jacinto Benavente;18:41:22;2021-11-04
83;2021-11-04 18:41:37.510000;Orense;18:41:37;2021-11-04
275;2021-11-04 18:41:33.987000;Marqués de Salamanca;18:41:33;2021-11-04
50;2021-11-04 18:41:28.670000;Fuencarral;18:41:28;2021-11-04
125;2021-11-04 18:41:39.867000;Montalbán;18:41:39;2021-11-04
198;2021-11-04 18:41:27.403000;Olavide;18:41:27;2021-11-04
337;2021-11-04 18:41:38.473000;Plaza de España;18:41:38;2021-11-04
239;2021-11-04 18:41:36.677000;Plaza Mayor;18:41:36;2021-11-04
23;2021-11-04 18:41:25.093000;Villa de París;18:41:25;2021-11-04
0;2021-11-04 18:41:23.903000;Pedro Zerolo;18:41:23;2021-11-04
68;2021-11-04 18:41:19.060000;Mercado de la Cebada;18:41:19;2021-11-04
523;2021-11-04 18:42:24.443000;Nuestra Señora del Recuerdo;18:42:24;2021-11-04
252;2021-11-04 18:42:30.983000;Avenida de Portugal;18:42:30;2021-11-04
187;2021-11-04 18:42:15.013000;Almagro;18:42:15;2021-11-04
81;2021-11-04 18:42:11.843000;Jacinto Benavente;18:42:11;2021-11-04
83;2021-11-04 18:42:27.820000;Orense;18:42:27;2021-11-04
275;2021-11-04 18:42:23.113000;Marqués de Salamanca;18:42:23;2021-11-04
48;2021-11-04 18:42:17.300000;Fuencarral;18:42:17;2021-11-04
125;2021-11-04 18:42:29.873000;Montalbán;18:42:29;2021-11-04
200;2021-11-04 18:42:16.170000;Olavide;18:42:16;2021-11-04
337;2021-11-04 18:42:28.823000;Plaza de España;18:42:28;2021-11-04
238;2021-11-04 18:42:26.490000;Plaza Mayor;18:42:26;2021-11-04
23;2021-11-04 18:42:13.980000;Villa de París;18:42:13;2021-11-04
0;2021-11-04 18:42:12.850000;Pedro Zerolo;18:42:12;2021-11-04
68;2021-11-04 18:42:19.210000;Mercado de la Cebada;18:42:19;2021-11-04
523;2021-11-04 18:43:13.997000;Nuestra Señora del Recuerdo;18:43:13;2021-11-04
252;2021-11-04 18:43:20.770000;Avenida de Portugal;18:43:20;2021-11-04
187;2021-11-04 18:43:05.550000;Almagro;18:43:05;2021-11-04
82;2021-11-04 18:43:02.357000;Jacinto Benavente;18:43:02;2021-11-04
83;2021-11-04 18:43:17.363000;Orense;18:43:17;2021-11-04
278;2021-11-04 18:43:13.010000;Marqués de Salamanca;18:43:13;2021-11-04
47;2021-11-04 18:43:07.507000;Fuencarral;18:43:07;2021-11-04
126;2021-11-04 18:43:19.863000;Montalbán;18:43:19;2021-11-04
200;2021-11-04 18:43:06.527000;Olavide;18:43:06;2021-11-04
337;2021-11-04 18:43:18.770000;Plaza de España;18:43:18;2021-11-04
239;2021-11-04 18:43:16.250000;Plaza Mayor;18:43:16;2021-11-04
23;2021-11-04 18:43:04.483000;Villa de París;18:43:04;2021-11-04
0;2021-11-04 18:43:03.470000;Pedro Zerolo;18:43:03;2021-11-04
69;2021-11-04 18:43:19.350000;Mercado de la Cebada;18:43:19;2021-11-04
524;2021-11-04 18:44:04.467000;Nuestra Señora del Recuerdo;18:44:04;2021-11-04
252;2021-11-04 18:44:11.560000;Avenida de Portugal;18:44:11;2021-11-04
188;2021-11-04 18:44:46.390000;Almagro;18:44:46;2021-11-04
81;2021-11-04 18:44:42.763000;Jacinto Benavente;18:44:42;2021-11-04
83;2021-11-04 18:44:07.900000;Orense;18:44:07;2021-11-04
