free_spaces_number;updated_at;parking_id;fecha;hora
48;2021-11-04 18:34:51.460000;Fuencarral;2021-11-04;18:34:51
110;2021-11-04 18:35:18.320000;Plaza de Oriente;2021-11-04;18:35:18
22;2021-11-04 18:35:19.287000;Sánchez Bustillo;2021-11-04;18:35:19
123;2021-11-04 18:35:03.117000;Montalbán;2021-11-04;18:35:03
196;2021-11-04 18:34:50.477000;Olavide;2021-11-04;18:34:50
341;2021-11-04 18:35:01.957000;Plaza de España;2021-11-04;18:35:01
248;2021-11-04 18:34:59.997000;Plaza Mayor;2021-11-04;18:34:59
22;2021-11-04 18:34:48.380000;Villa de París;2021-11-04;18:34:48
1;2021-11-04 18:34:47.233000;Pedro Zerolo;2021-11-04;18:34:47
76;2021-11-04 18:35:08.420000;Mercado de la Cebada;2021-11-04;18:35:08
522;2021-11-04 18:35:46.783000;Nuestra Señora del Recuerdo;2021-11-04;18:35:46
253;2021-11-04 18:35:53.303000;Avenida de Portugal;2021-11-04;18:35:53
170;2021-11-04 18:35:38.607000;Almagro;2021-11-04;18:35:38
80;2021-11-04 18:36:24.403000;Jacinto Benavente;2021-11-04;18:36:24
82;2021-11-04 18:35:50.143000;Orense;2021-11-04;18:35:50
268;2021-11-04 18:35:45.737000;Marqués de Salamanca;2021-11-04;18:35:45
47;2021-11-04 18:35:40.497000;Fuencarral;2021-11-04;18:35:40
123;2021-11-04 18:35:52.380000;Montalbán;2021-11-04;18:35:52
196;2021-11-04 18:35:39.590000;Olavide;2021-11-04;18:35:39
340;2021-11-04 18:35:51.113000;Plaza de España;2021-11-04;18:35:51
37;2021-11-04 18:35:21.510000;Plaza del Rey;2021-11-04;18:35:21
246;2021-11-04 18:35:48.987000;Plaza Mayor;2021-11-04;18:35:48
22;2021-11-04 18:35:37.527000;Villa de París;2021-11-04;18:35:37
1;2021-11-04 18:36:25.703000;Pedro Zerolo;2021-11-04;18:36:25
6;2021-11-04 18:35:23.793000;BARCO 1;2021-11-04;18:35:23
4;2021-11-04 18:35:24.293000;GRAVINA 21;2021-11-04;18:35:24
13;2021-11-04 18:35:24.857000;El Corte Inglés Callao;2021-11-04;18:35:24
44;2021-11-04 18:35:25.507000;MERCADO SAN ANTON;2021-11-04;18:35:25
28;2021-11-04 18:35:26.037000;GARAJE PIAMONTE;2021-11-04;18:35:26
18;2021-11-04 18:35:26.590000;PARKING VOT;2021-11-04;18:35:26
76;2021-11-04 18:36:08.507000;Mercado de la Cebada;2021-11-04;18:36:08
523;2021-11-04 18:37:26.900000;Nuestra Señora del Recuerdo;2021-11-04;18:37:26
253;2021-11-04 18:36:44.667000;Avenida de Portugal;2021-11-04;18:36:44
176;2021-11-04 18:37:18.983000;Almagro;2021-11-04;18:37:18
82;2021-11-04 18:37:16.133000;Jacinto Benavente;2021-11-04;18:37:16
82;2021-11-04 18:36:41.177000;Orense;2021-11-04;18:36:41
271;2021-11-04 18:37:25.993000;Marqués de Salamanca;2021-11-04;18:37:25
49;2021-11-04 18:37:21.350000;Fuencarral;2021-11-04;18:37:21
17;2021-11-04 18:37:24.973000;Montalbán;2021-11-04;18:37:24
196;2021-11-04 18:37:20.177000;Olavide;2021-11-04;18:37:20
340;2021-11-04 18:36:42.327000;Plaza de España;2021-11-04;18:36:42
244;2021-11-04 18:36:39.863000;Plaza Mayor;2021-11-04;18:36:39
23;2021-11-04 18:37:18.107000;Villa de París;2021-11-04;18:37:18
2;2021-11-04 18:37:17.163000;Pedro Zerolo;2021-11-04;18:37:17
74;2021-11-04 18:37:18.670000;Mercado de la Cebada;2021-11-04;18:37:18
523;2021-11-04 18:38:14.937000;Nuestra Señora del Recuerdo;2021-11-04;18:38:14
250;2021-11-04 18:38:21.580000;Avenida de Portugal;2021-11-04;18:38:21
175;2021-11-04 18:38:06.557000;Almagro;2021-11-04;18:38:06
80;2021-11-04 18:38:03.060000;Jacinto Benavente;2021-11-04;18:38:03
83;2021-11-04 18:38:18.033000;Orense;2021-11-04;18:38:18
272;2021-11-04 18:38:13.953000;Marqués de Salamanca;2021-11-04;18:38:13
52;2021-11-04 18:38:08.837000;Fuencarral;2021-11-04;18:38:08
123;2021-11-04 18:38:20.157000;Montalbán;2021-11-04;18:38:20
196;2021-11-04 18:38:07.743000;Olavide;2021-11-04;18:38:07
339;2021-11-04 18:38:19.110000;Plaza de España;2021-11-04;18:38:19
242;2021-11-04 18:38:16.893000;Plaza Mayor;2021-11-04;18:38:16
23;2021-11-04 18:38:05.377000;Villa de París;2021-11-04;18:38:05
2;2021-11-04 18:38:04.313000;Pedro Zerolo;2021-11-04;18:38:04
71;2021-11-04 18:38:18.753000;Mercado de la Cebada;2021-11-04;18:38:18
523;2021-11-04 18:39:04.397000;Nuestra Señora del Recuerdo;2021-11-04;18:39:04
252;2021-11-04 18:39:10.393000;Avenida de Portugal;2021-11-04;18:39:10
176;2021-11-04 18:38:55.733000;Almagro;2021-11-04;18:38:55
79;2021-11-04 18:38:52.870000;Jacinto Benavente;2021-11-04;18:38:52
83;2021-11-04 18:39:07.720000;Orense;2021-11-04;18:39:07
273;2021-11-04 18:39:03.277000;Marqués de Salamanca;2021-11-04;18:39:03
51;2021-11-04 18:38:57.953000;Fuencarral;2021-11-04;18:38:57
124;2021-11-04 18:39:09.723000;Montalbán;2021-11-04;18:39:09
197;2021-11-04 18:38:56.843000;Olavide;2021-11-04;18:38:56
338;2021-11-04 18:39:08.720000;Plaza de España;2021-11-04;18:39:08
240;2021-11-04 18:39:06.670000;Plaza Mayor;2021-11-04;18:39:06
24;2021-11-04 18:38:54.613000;Villa de París;2021-11-04;18:38:54
2;2021-11-04 18:38:53.643000;Pedro Zerolo;2021-11-04;18:38:53
69;2021-11-04 18:39:18.867000;Mercado de la Cebada;2021-11-04;18:39:18
523;2021-11-04 18:39:53.500000;Nuestra Señora del Recuerdo;2021-11-04;18:39:53
252;2021-11-04 18:40:00.923000;Avenida de Portugal;2021-11-04;18:40:00
178;2021-11-04 18:40:35.513000;Almagro;2021-11-04;18:40:35
249;2021-11-04 18:40:14.507000;Luna-Tudescos;2021-11-04;18:40:14
79;2021-11-04 18:40:31.987000;Jacinto Benavente;2021-11-04;18:40:31
32;2021-11-04 18:40:17.707000;Arquitecto Ribera (Barceló);2021-11-04;18:40:17
29;2021-11-04 18:40:19.083000;Casino de la Reina;2021-11-04;18:40:19
